filename,Function_Return_type,Function_Params,Function_Name,Typedefs,Pointers,References,Arrays,Function_Calls
29088147_62784975.xml,b'int\n',b'int argc\n',['main'],b'',[' char * argv []'],[],[' char * argv []'],"[' std :: min b c / 2', ' std :: min a b / 2']"
29068364_62793400.xml,b'int\n',b'\n',['main'],b'',[],[],[' a maxn maxn'],"[' scanf ""%d"" & n']"
29080778_62784070.xml,b'int\n',b'\n',['main'],b'',[],[],[],[' max ans 3 * i + 3 * j']
29089610_62783915.xml,b'int\n',b'\n',['main'],b'',[],[],[],"[' ios :: sync_with_stdio false', ' cin . tie 0', ' cout . tie 0', ' max ans 3 * i + 3 * min b - 2 * i c / 2', ' min b - 2 * i c / 2']"
29089990_62785067.xml,b'void\n',b'\n',"['solve', 'stupidsolve', 'generator', 'main']",b'',[],[],[],"[' ios :: sync_with_stdio false', ' cin . tie 0', ' solve ()']"
29074393_62786450.xml,b'int\n',b'int a\n',"['mul', 'binpow', 'run', 'main']","b'typedef long long ll;typedef long double ld;typedef pair&lt;ll, ll> pii;typedef pair&lt;ll, ll> pll;'",[],[],[],"[' mul res n', ' mul n n', ' binpow binpow 2 n - 1 m', ' binpow 2 n', ' freopen ""input.txt"" ""r"" stdin', ' freopen ""output.txt"" ""w"" stdout', ' gen . seed time 0', ' time 0', ' ios :: sync_with_stdio 0', ' cin . tie 0', ' run ()']"
29068955_62791272.xml,b'll\n',b'll x\n',"['modex', 'main']",b'',[],[],[],"[' ios_base :: sync_with_stdio false', ' cin . tie NULL', ' cout . tie NULL', ' modex 2 n', ' modex ans m']"
29074550_62792269.xml,b'll\n',b'll a\n',"['mpow', 'main']","b'typedef long long ll;typedef vector&lt;int> vi;typedef pair&lt;int,int> pii;'",[],[],[],"[' acos - 1', ' cin . tie 0', ' cout . tie 0', ' ios :: sync_with_stdio 0', ' mpow 2 m', ' mpow ans n']"
29070714_62791766.xml,b'lli\n',b'lli k\n',"['power', 'main']",b'typedef long double ld;typedef long long int lli;',[],[],[],"[' power k n / 2', ' power k n / 2', ' power power 2 m - 1 n', ' power 2 m']"
29088400_62787798.xml,b'lli\n',b'lli x\n',"['power', 'gcd', 'main']",b'',[],[],[],"[' power x y / 2', ' gcd b a % b', ' power 2 m', ' power a n']"
29087755_62785070.xml,b'int\n',b'\n',['main'],b'',[],[],[],[' max ans 3 * ( x + y )']
29063309_62791403.xml,b'll\n',b'll x\n',"['modexp', 'powr', 'main']",b'',[],[],[' int a n + 1 n + 1'],"[' modexp x n / 2', ' modexp x n - 1', ' freopen ""input.txt"" ""r"" stdin', ' freopen ""output.txt"" ""w"" stdout', ' si n']"
29055428_62784532.xml,b'ostream &\n',b'ostream &out\n',"['operator', 'operator', 'operator', 'operator', 'main']",b'',[],"[' ostream & out', ' const pair T T & P', ' ostream & out', ' const vector T & V', ' istream & in', ' vector T & V', ' T & i V', ' istream & in', ' pair T T & P']",[],"[' V . size ()', ' ios :: sync_with_stdio false', ' cin . tie NULL']"
29048755_62792311.xml,b'int\n',b'\n',['main'],b'',[],[],"[' long long int pow2 100 {}', ' long long int pow 100 {}']",[]
29081616_62795435.xml,b'int\n',b'\n',['main'],b'',[],[],[' int arr n n'],[]
29040959_62789976.xml,b'signed\n',b'\n',['main'],b'',[],[],[' vector int v 3001'],"[' scanf ""%d"" & n', ' push_back i + j - 1', ' push_back i + j - 1', ' size ()', ' printf ""%d "" v i j', ' printf ""\\n""']"
29083161_62789749.xml,b'long long\n',b'long long a\n',"['power', 'main']",b'',[],[],[],"[' scanf ""%lld%lld"" & n & m', ' printf ""%lld\\n"" power power 2 m - 1 n', ' power power 2 m - 1 n', ' power 2 m']"
