ParticipantID	Color	Rank	Country	Problem1_id	Problem1_memory	Problem1_time	Problem1_language	Problem2_id	Problem2_memory	Problem2_time	Problem2_language	Problem3_id	Problem3_memory	Problem3_time	Problem3_language	Problem4_id	Problem4_memory	Problem4_time	Problem4_language	Problem5_id	Problem5_memory	Problem5_time	Problem5_language	Problem6_id	Problem6_memory	Problem6_time	Problem6_language
29739481	blue	104	Индия	64374215	8	31	GNU C++17	64378587	56	30	GNU C++17	64403068	156	46	GNU C++17	64386134	244	31	GNU C++17	64411939	23416	233	GNU C++17	-	-	-	-
29731642	blue	105	-	64376893	48	31	GNU C++17	64381093	9792	30	GNU C++17	64399293	148	31	GNU C++17	64387280	8	31	GNU C++17	64411889	27292	327	GNU C++17	-	-	-	-
29739785	blue	106	Индия	64374275	248	31	GNU C++17	64379943	244	31	GNU C++17	64401111	156	46	GNU C++17	64394142	8	46	GNU C++17	64407897	17980	217	GNU C++17	-	-	-	-
29776511	cyan	107	Россия	64374248	12	15	GNU C++17	64377643	300	31	GNU C++17	64388741	156	31	GNU C++17	64393164	244	46	GNU C++17	64407130	12736	233	GNU C++17	-	-	-	-
29778975	blue	108	Tunisia	64376071	8	62	GNU C++14	64380397	316	46	GNU C++14	64403852	152	186	GNU C++14	64392560	8	46	GNU C++14	64407565	11416	124	GNU C++14	-	-	-	-
29768755	blue	109	Россия	64373555	244	46	GNU C++17	64385983	60	31	GNU C++17	64388538	160	46	GNU C++17	64394278	12	46	GNU C++17	64405788	20612	358	GNU C++17	-	-	-	-
29767811	blue	110	Россия	64373506	12	46	GNU C++17	64375638	312	31	GNU C++17	64392295	152	46	GNU C++17	64401120	244	93	GNU C++17	64405729	14720	171	GNU C++17	-	-	-	-
29733548	blue	111	China	64374916	20	46	GNU C++17	64379923	112	15	GNU C++17	64402852	564	171	GNU C++17	64391219	20	31	GNU C++17	64410231	40604	108	GNU C++17	-	-	-	-
29762444	blue	112	-	64374279	40	31	GNU C++11	64380073	204	30	GNU C++11	64396267	4	30	GNU C++11	64387655	8	46	GNU C++11	64416911	7948	186	GNU C++11	-	-	-	-
29778490	blue	113	Бангладеш	64375136	160	31	GNU C++17	64379717	312	31	GNU C++17	64396177	152	156	GNU C++17	64389771	996	31	GNU C++17	64415455	9968	139	GNU C++17	-	-	-	-
