SubmissionID	Problem_index	Participant_country	Participant_color	Language	Time	Memory
29164478_62982049	2	Россия	blue	GNU C++17	61	792
29164478_62989215	3	Россия	blue	GNU C++17	31	792
29164478_63004102	4	Россия	blue	GNU C++17	529	424
29176705_62978342	1	China	blue	GNU C++11	31	8
29176705_62981319	2	China	blue	GNU C++11	31	792
29176705_62989936	3	China	blue	GNU C++11	31	3140
29176705_63003701	4	China	blue	GNU C++11	327	20
29148140_62978649	1	China	cyan	GNU C++11	124	8
29148140_62983986	2	China	cyan	GNU C++11	78	796
29148140_62993553	3	China	cyan	GNU C++11	31	796
29148140_63001850	4	China	cyan	GNU C++11	140	8
29177607_62978809	1	-	blue	GNU C++17	77	8
29177607_62982333	2	-	blue	GNU C++17	46	400
29177607_62992481	3	-	blue	GNU C++17	31	1576
29177607_63000984	4	-	blue	GNU C++17	93	0
29170275_62978423	1	South Korea	blue	GNU C++17	62	4
29170275_62982495	2	South Korea	blue	GNU C++17	46	400
29170275_62990370	3	South Korea	blue	GNU C++17	31	796
29170275_63002333	4	South Korea	blue	GNU C++17	327	1576
29148929_62977524	1	Узбекистан	blue	GNU C++17	78	4
29148929_62980754	2	Узбекистан	blue	GNU C++17	62	7840
29148929_62993926	3	Узбекистан	blue	GNU C++17	61	7832
29148929_63003419	4	Узбекистан	blue	GNU C++17	234	7840
29169046_62978407	1	China	blue	GNU C++11	46	8
29169046_62982299	2	China	blue	GNU C++11	31	792
29169046_62991553	3	China	blue	GNU C++11	46	792
29169046_63000426	4	China	blue	GNU C++11	124	12
29170003_62977896	1	China	blue	GNU C++11	436	792
29170003_62981527	2	China	blue	GNU C++11	171	404
29170003_62993437	3	China	blue	GNU C++11	31	404
29170003_63000486	4	China	blue	GNU C++11	139	8
29178934_62978859	1	-	cyan	GNU C++11	62	8
29178934_62983248	2	-	cyan	GNU C++11	46	396
29178934_62992865	3	-	cyan	GNU C++11	31	792
29178934_62997603	4	-	cyan	GNU C++11	296	8
29147866_62979134	1	Сингапур	blue	GNU C++11	124	4
29147866_62983287	2	Сингапур	blue	GNU C++11	78	388
29147866_62987753	3	Сингапур	blue	GNU C++11	31	776
29147866_63003275	4	Сингапур	blue	GNU C++11	62	8
29168461_62978078	1	Россия	blue	GNU C++17	358	796
29168461_62981485	2	Россия	blue	GNU C++17	140	408
29168461_62994930	3	Россия	blue	GNU C++17	31	152
29168461_63000699	4	Россия	blue	GNU C++17	93	4
29178490_62980964	1	Марокко	blue	Java 8	140	0
29178490_62985841	2	Марокко	blue	Java 8	155	0
29178490_62992375	3	Марокко	blue	Java 8	140	0
29178490_63003135	4	Марокко	blue	Java 8	576	0
29148696_62979750	1	-	blue	GNU C++11	61	4
29148696_62984417	2	-	blue	GNU C++11	46	792
29148696_62993936	3	-	blue	GNU C++11	31	3144
29148696_63001502	4	-	blue	GNU C++11	187	304
29180256_62980875	1	South Korea	blue	GNU C++17	78	16
29180256_62984909	2	South Korea	blue	GNU C++17	77	800
29180256_62989140	3	South Korea	blue	GNU C++17	31	3932
29180256_63007715	4	South Korea	blue	GNU C++17	733	1336
29170229_62977827	1	China	blue	GNU C++14	77	4
29170229_62980793	2	China	blue	GNU C++14	46	792
29170229_62995973	3	China	blue	GNU C++14	30	1572
29170229_62999734	4	China	blue	GNU C++14	187	12
29140859_62978222	1	Россия	blue	MS C++ 2017	233	8
29140859_62981087	2	Россия	blue	MS C++ 2017	93	400
29140859_62992909	3	Россия	blue	MS C++ 2017	46	3144
